      Plot replica #,up1 a,up1 b,up1 c,dp1 a,dp1 b,dp1 c,sp1 a,sp1 b,sp1 c,um1 a,um1 b,um1 c,dm1 a,dm1 b,dm1 c,sm1 a,sm1 b,sm1 c,                GT a,                GT b,                GT c,G2 a,G2 b,G2 c,
373,-0.479817,3.908542,-5.602127,5.031385,-9.478935,6.642284,8.421038,-8.160699,-5.824473,-4.537838,5.629899,6.625714,-5.288663,-1.670502,10.137905,8.024521,-4.939186,-11.928366,-0.349477,0.958090,1.366102,0.219874,-0.159440,-1.534117,
374,-0.057021,-0.825346,-5.579420,6.831533,-7.216296,-2.952532,4.903259,1.929546,-13.313611,-2.191126,4.020259,3.481728,1.127747,-3.040611,-1.015634,6.957300,-0.674345,-15.704376,1.253196,0.100892,-7.217136,0.393482,-0.412051,0.361659,
375,2.128382,1.941052,-1.353439,2.024944,-6.304177,14.915020,3.230479,3.559766,-4.287095,-7.719443,13.287897,4.475449,-1.184515,-0.937605,1.738313,3.229858,0.963974,-8.616669,3.436651,-1.945316,-2.046707,-0.113249,-1.308338,-2.802021,
376,0.643930,-0.889351,-0.220916,4.519485,-9.004424,9.594261,5.187572,1.247116,-8.927111,-2.521461,5.031174,3.417264,-3.433006,0.548581,5.299655,8.575106,-0.429613,-17.345089,-1.131554,0.724297,8.183540,-0.232930,0.775214,-2.788864,
377,0.768710,0.390677,-4.495415,4.602968,-7.593908,4.922500,-3.426928,1.771599,6.822764,-2.910852,3.536259,5.128236,1.796543,-14.400277,10.111624,7.091853,2.337424,-19.302663,0.750612,-0.042883,-4.409690,1.446852,-1.044596,-2.789180,
378,-0.210977,-1.025168,-1.763317,7.549737,-2.230767,-6.914267,-1.793464,2.532594,3.149363,-2.355754,3.587881,4.689527,-2.997494,1.456673,1.874864,8.364494,-3.224409,-14.922228,0.255306,-0.210918,1.132334,0.352785,-0.674660,-0.950869,
379,1.720380,-5.856500,-2.160171,7.435747,-8.484606,-1.976447,2.576783,9.517275,-15.728909,-5.334390,8.161956,5.853221,-2.274873,-6.975361,10.504346,7.397584,-2.917626,-12.162173,0.573846,0.061383,-4.130106,0.292616,0.225848,-0.679366,
380,2.002049,0.241708,-9.972047,5.904843,-5.300144,-3.084059,-1.386342,-7.087002,9.335967,-5.010365,7.743328,5.119489,-1.831982,1.521816,-2.131119,7.528051,0.366623,-17.076675,-0.426205,0.296981,0.300683,0.034966,0.157016,0.123649,
381,6.321670,-1.383247,-12.117411,2.215644,-3.887153,9.542265,-4.680913,6.836125,7.921831,-4.639420,3.249982,10.353539,3.765570,2.790595,-11.375585,4.640236,-4.631543,-3.568139,-0.468047,0.649136,6.938579,-1.372137,1.622661,-1.549019,
382,-0.393790,1.139721,-4.694743,5.409312,-9.492198,3.866534,4.790909,3.361000,-13.437119,-1.491301,2.619471,3.603063,-0.558646,-4.568603,3.652137,11.398809,-6.702100,-17.175860,0.699435,-0.008496,-3.123222,0.530926,-0.837864,-0.461964,
383,-2.055738,1.406189,1.626264,6.443799,-11.199623,7.291341,0.285836,7.856276,-6.157691,-2.457384,0.178734,10.103494,2.414038,-17.341495,13.942896,8.210679,0.711434,-17.752084,-1.158184,-0.135660,6.600160,0.613850,-0.171409,-3.034417,
