      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT a,                GT b,                GT c,                G2 a,                G2 b,                G2 c,
                  44,            2.952950,           -3.604572,           -4.392693,            6.303832,          -12.762627,            8.032840,            4.868800,            5.505408,          -13.006602,           -1.996900,           -4.184362,           13.655096,            0.867028,          -11.448428,            6.397003,            9.467703,           -7.743905,          -10.408019,            6.167923,           -9.726608,           -6.120163,           -0.884334,            1.689963,           -1.494048,
                  45,           -4.327614,            5.602060,           -1.264918,            7.617032,          -12.577487,            3.945111,            7.522100,           -4.176395,          -12.187200,          -11.978251,           13.763327,           13.964502,           -3.880301,           -9.105795,           16.862575,            2.658363,            0.654817,           -8.461580,            1.818875,           -1.460834,           -4.521083,            0.955407,           -0.957617,           -1.313055,
                  46,           -1.259625,            0.691274,           -0.619481,            8.235524,          -17.720343,            9.271166,            7.823543,           -0.115188,          -14.461623,          -11.527321,           11.249491,           14.701337,           -0.961146,            2.362619,            3.391537,           11.550260,          -11.042880,          -10.022718,            1.463081,           -8.368041,           -0.895992,            0.865293,            0.030725,           -2.840364,
                  47,           -0.837296,            5.995265,           -2.991732,            3.043823,            0.885238,            3.865768,           15.918522,          -16.168850,           -6.624493,           -5.717450,            5.194215,            8.337995,           -7.350215,           11.331782,           -2.775941,            7.315581,           -8.451869,           -9.103659,            7.410169,           -8.468855,           -7.331950,           -0.550632,           -1.058682,           -1.358715,
                  48,           -3.443346,            6.472207,           -6.141523,            7.040531,           -8.253774,           -1.816822,            6.749398,            1.745803,          -16.865864,           -5.122085,           -0.653939,           15.379812,            0.024160,           -0.956683,           -0.438823,           10.384736,           -2.591822,          -19.354576,           -0.219913,           -4.717025,            0.693040,            0.623354,           -1.908918,            1.236154,
                  49,            5.091783,            4.529052,           -5.570194,            6.870449,           -1.543383,            6.051074,            7.776289,           -2.914919,           -0.741539,           -4.112657,            2.904769,            9.887404,           -4.087334,            8.094370,           -6.330878,            6.859458,           12.389617,          -19.249458,            5.092733,           -0.944424,           -3.998215,           -1.231236,           -2.594909,           -1.681604,
                  50,            0.163223,            4.291115,            3.153074,            7.744337,          -10.125056,           12.899063,            7.569254,            6.876253,          -10.714595,           -1.257032,           -0.840395,            7.496883,            7.808593,          -17.984090,            3.476774,            8.828469,           -7.781233,           -9.090251,            4.729453,           -4.583985,           -0.080358,           -0.474726,           -1.337339,           -4.167987,
                  51,            0.973445,            1.832145,          -10.368570,            5.671035,           -8.981398,            1.077722,           13.659301,           -8.922901,          -15.850260,           -3.972622,            3.418001,            8.573634,           -7.471087,            2.718611,            8.749769,           11.487942,           -1.183609,          -18.520662,           -0.220930,          -10.467717,            9.999807,           -1.564458,            1.327547,            1.992112,
                  52,            2.004476,           13.851010,           -9.758822,            8.125838,           -3.882532,            6.032203,            9.488630,            2.099193,           -1.387244,          -12.154876,            8.348755,           19.340653,           -0.093504,            6.213497,          -13.011729,            5.732916,            7.300391,          -18.494623,            2.693825,            5.104453,           -1.015479,           -1.027911,           -4.475710,           -0.721053,
                  53,           -4.262194,            9.092431,            4.752173,            8.002650,          -12.055193,           12.225393,            6.773564,            3.995784,           -6.561253,           -5.948213,            1.116118,           15.748417,           -6.261256,           10.315613,            4.241430,           -1.584758,           -8.362037,           14.937792,            3.104562,           -3.650619,           -2.450911,            1.443003,           -2.985737,           -5.207784,
                  54,           -1.311889,            7.904896,            0.619412,            9.119753,          -10.258309,            8.658069,            8.950181,           -6.911918,            2.027108,           -4.942895,            3.746517,           11.164254,          -11.839972,           20.310975,           -1.878080,           13.009807,           -2.398912,          -10.146052,            5.917390,           -2.465275,           -8.001838,            0.265037,           -1.933499,           -4.231456,
                  55,           -0.808520,            7.023755,           -8.032165,            5.624243,           -3.635200,           -0.129691,            2.990373,           -6.483256,            5.376770,           -3.349194,           12.232897,           -2.926376,           -1.759224,            0.778660,            0.083195,            9.147214,          -13.848821,           -3.074831,            0.699602,           -3.070357,            3.170688,           -0.166765,           -0.863432,           -0.514961,
                  56,            0.630255,            3.372738,           -0.252462,            2.904525,           -4.573308,           12.921721,            6.596518,            3.482583,           -8.402158,           -9.986958,            8.003163,           14.629846,           -6.115652,            1.247048,            9.400305,            4.649918,            1.210004,           -9.056773,            2.580180,           -2.575159,            0.124274,            0.503707,           -1.721048,           -3.930284,
                  57,            4.582168,            8.091818,           -2.765449,            9.265526,           -0.013582,            5.401868,           10.861720,            0.459386,           -1.178752,           -7.427941,            7.715460,           10.636344,           -3.201612,           -9.932078,           16.862607,            5.729587,           -7.767179,           -2.435252,            7.023007,           -0.392758,           -1.923855,           -2.248962,           -3.367252,           -2.028025,
                  58,            1.005016,            7.637643,            5.347794,           12.426649,           -5.473604,            6.581789,           18.360488,            2.668515,          -17.324910,           -6.850715,            0.969504,           18.771921,            4.160163,           -4.459331,           -1.748036,            0.930441,           11.450989,           -5.794731,            1.728092,            9.997707,           -3.843023,           -0.002590,           -4.902800,           -5.022267,
                  59,            0.409273,           -0.471623,            3.268058,            5.889285,          -12.424661,           14.133994,            4.515966,            0.449848,           -2.454532,           -3.707398,            2.595594,            8.155566,           -7.521339,           12.152592,            2.361538,           -1.648975,           -2.873722,            6.422959,            4.399471,           -5.641469,           -2.798322,            0.379419,            0.355889,           -5.287445,
                  60,           -1.704454,           -0.519912,           -0.875431,            1.448828,           -4.291051,            5.662669,           13.755117,          -15.769682,           -9.605018,           -1.628706,            2.049365,            5.265496,            4.205232,           -2.686030,           -8.583238,           19.888934,          -13.975856,          -26.424057,           -0.710421,           -2.065992,            3.436146,            0.489409,            1.065810,           -2.337068,
                  61,            1.210117,            9.437874,           -9.372302,            7.345852,           -1.282683,           -0.956833,           11.042110,           -9.517357,           -1.722599,           -5.708162,            9.915761,            4.659058,           -2.301826,            0.752229,            3.137203,            0.924429,           -6.420936,            3.887838,            3.889799,            1.517614,           -1.561695,           -1.707892,           -1.788355,            0.892997,
                  62,           -5.692721,            5.644446,           -2.130919,            9.393582,          -15.916600,            1.279717,            9.861779,           -3.748001,          -17.491932,          -10.208369,            7.513190,           17.543362,            3.993357,           -1.664096,          -12.294192,           -0.608863,           -9.421279,            6.521955,            3.241362,            0.394125,           -8.793876,            0.558348,           -0.166207,           -0.081273,
                  63,            1.483284,            9.282272,          -11.965256,            2.832030,           -1.581228,            5.526585,           11.895816,           -5.936243,          -13.286434,            1.681608,           -4.566171,            4.863042,           -9.928826,           13.884093,            1.903813,            7.044419,            4.553568,           -3.662951,            4.780694,          -13.535987,           -2.154319,           -0.712570,           -2.508109,            1.296022,
                  64,           -0.242892,            7.254256,           -0.949399,           14.723975,          -16.224151,            3.349323,           17.648175,          -12.780481,           -9.659855,          -15.495811,           17.999388,           14.858384,           -2.350692,            0.572358,            3.151978,           10.620802,           -3.328439,          -13.846577,            5.764614,            3.716586,           -8.531260,           -1.613080,           -0.334262,           -2.057463,
                  65,            2.464259,            7.836819,            2.543215,            5.857844,            3.187394,            9.608103,           11.483327,            7.229154,           -8.331022,           -4.008022,            1.620202,           10.660241,           -3.046553,           -2.269395,            4.081517,            6.493793,           -6.619236,           -6.516558,            6.001246,            3.339406,           -2.784231,           -1.164981,           -4.250847,           -3.687878,
                  66,           -3.315650,            4.376625,            0.769528,           12.454199,          -15.481338,           -0.040066,            9.978982,            0.839165,          -13.983644,          -10.757909,           10.244082,           13.228329,           -1.389220,           -2.781183,           -1.706938,           -2.597481,           10.831417,           -3.536780,           -0.383451,           -1.490373,            9.977516,           -1.467727,            0.901006,           -0.426135,
                  67,           -1.616409,            9.300593,            1.427684,           12.834126,          -14.129899,            7.305537,            4.686573,            5.907697,           -1.252104,          -11.772028,            8.997542,           18.130128,          -12.015130,           -8.572888,           27.135466,            6.949307,           -7.491049,           -3.229465,            6.642563,           -7.257471,           -4.239309,           -0.469316,           -1.985036,           -3.738008,
                  68,            0.592065,           12.273240,           -6.564565,            6.560610,           -3.629482,            7.340871,            1.641627,            5.245494,            2.322976,          -12.693254,           14.756915,           14.519124,          -10.207286,            3.580980,           20.055393,            7.269482,            1.828205,           -1.519336,            4.935986,          -10.677934,           -9.991199,            1.948212,           -5.984874,           -3.536028,
                  69,           -2.698152,            2.967152,            0.560879,            1.778819,           -6.644595,           10.942271,            5.519785,            4.008987,          -12.149163,           -4.813530,            3.426417,           10.497577,           -3.887284,            2.005084,            3.862630,            5.754989,           -4.646901,           -6.788186,            3.063360,           -6.267166,           -3.197889,            1.063295,           -1.046953,           -2.735408,
                  70,            4.520667,            1.291666,           -7.648877,            8.934921,          -12.397131,            6.812242,            8.799673,           -6.890250,           -1.723628,           -4.410561,            0.081285,           11.973154,            3.353268,          -15.539848,            8.377414,            8.590455,          -14.524261,           -4.545723,            8.821763,          -14.999430,           -5.092656,           -2.273685,            1.375228,           -0.869909,
                  71,           -3.768389,           -0.716485,           -2.765615,            4.809606,          -17.355101,            7.312970,           -0.785118,            5.789519,           -6.638062,           -8.090136,           14.281839,            5.397194,           -4.080660,           10.579063,           -2.461577,           19.981047,          -13.997903,           14.950281,            3.200212,          -14.558757,           -5.315972,            1.735333,            0.754593,           -1.658604,
                  72,            0.421226,            5.738271,            1.136863,            8.740707,          -12.542210,           13.151751,           18.092078,           -5.598263,          -17.330430,           -5.945226,            4.266710,           11.332718,            1.598898,           -0.105037,           -6.388339,           12.290790,          -21.152283,            4.598728,            6.205306,           -4.624825,           -2.764603,           -1.233064,           -0.812215,           -3.201116,
                  73,           -2.301684,            5.966597,           -5.070687,            5.452876,          -12.265358,            7.919562,           15.230859,          -13.757831,          -14.315831,           -9.216958,            7.596505,           12.885821,           -4.122282,           -5.238610,           14.486624,           11.070826,           -8.540721,          -15.472488,            4.666423,          -12.595961,           -4.957857,            0.025553,            0.280169,           -1.225857,
                  74,            2.608373,            2.508240,           -4.290662,            7.477392,           -9.775210,            7.913135,           11.122293,            0.638067,          -14.217094,           -2.014842,            3.233629,            4.047431,          -10.077140,            3.685186,           15.510956,            3.341412,           -1.933147,           -4.199064,            7.631982,          -12.627103,           -3.152573,           -1.699978,            0.177655,           -1.162893,
                  75,            1.003837,            1.356091,           -0.101457,            3.948586,           -8.481585,           12.803930,            7.737437,           -5.265049,            1.237762,          -10.303538,            8.666098,           14.259340,           -0.832757,          -14.891262,           18.749878,           -0.524554,           -1.648286,            1.734596,            2.844345,           -1.853752,           -2.932397,            0.543234,           -0.363791,           -4.875767,
                  76,           -4.462590,           11.493845,            0.365614,            2.766496,            0.088366,            7.174849,            5.544054,            3.966011,           -9.781509,           -7.790227,           11.970252,            6.237327,            4.646842,            1.811815,          -14.525128,            9.544734,            0.271688,          -21.247153,           -1.987424,           -1.771821,            6.341030,            1.746453,           -4.673522,           -2.632729,
                  77,            1.741896,            5.985948,           -5.969769,            6.164675,           -6.559648,            8.276606,           15.800864,           -3.310812,          -20.478466,           -7.672582,            2.631586,           18.586969,           -4.604032,            1.279557,            4.517503,           -4.782646,            1.910809,            8.964406,            5.890626,           -4.278520,           -9.555926,           -0.740456,           -1.841803,           -0.902696,
                  78,            0.534781,           -1.270701,           -4.103608,            3.813771,           -6.983253,            4.636775,            2.902305,            6.654992,          -12.442130,           -2.980999,           -8.079716,           19.031661,           -6.521206,           -3.356234,            8.701517,            4.188558,          -12.567081,            3.247065,           -0.008685,           -6.148740,            7.260030,           -0.299428,            0.369737,           -0.289275,
                  79,           -1.786471,            9.376201,           -5.241549,            8.400234,          -14.780112,            9.554326,            9.685166,          -17.541752,            4.627118,            1.319576,           -3.956202,            5.673210,           -3.792039,            2.032647,            1.299604,           11.443997,          -12.634440,          -12.123617,            1.054745,            1.148475,            6.406841,           -1.172947,            1.030013,           -2.019538,
                  80,           -0.913323,           11.518091,           -5.917320,            9.347142,          -10.778734,            7.266873,           19.463242,           -8.591030,          -21.539164,            1.584681,            2.125137,           -2.811837,          -11.472056,           -3.487289,           23.487480,            5.788546,           -5.186077,           -7.893956,            2.654414,            0.664151,            6.756395,           -2.766437,           -0.527275,            1.051262,
                  81,           -1.755005,            5.281467,           -3.301628,            6.448917,          -11.656627,            8.117908,           10.172447,            1.744289,          -18.044486,           -7.069060,            3.070436,           15.266578,          -12.397523,            5.889250,           15.005829,            1.767742,           -2.834954,           -1.095988,            4.107050,           -6.454134,           -3.005138,           -0.362817,           -0.675438,           -0.702122,
                  82,           -1.852139,           10.712524,           -9.981068,            6.587722,          -10.795198,            5.377347,           11.154548,           -5.295482,          -15.580966,           -5.658102,            4.183939,           12.841051,          -15.176980,           10.833492,           19.483892,            4.509100,            3.181433,          -11.682266,            3.157116,          -10.152550,           -5.333570,            0.468805,           -2.553434,            0.493395,
                  83,            1.330645,            2.769864,           -4.927291,           10.849243,          -14.720229,            4.445676,            1.792241,            5.328148,           -4.652898,           -0.870681,           -3.543716,           10.240844,           -3.184222,            5.387240,           -4.420249,           11.037606,           -3.974925,          -19.773562,            3.077443,           -7.824631,            1.542827,           -0.707267,           -0.295867,           -1.204126,
                  84,           -0.359867,            5.509225,            5.694227,            7.950364,           -5.222415,           10.003437,           18.740710,          -10.718045,          -10.581004,           -5.002481,           -3.740955,           19.543642,           -0.270137,            2.368960,           -7.073878,            3.540527,           -6.231824,           -2.037093,            5.305849,           -1.061324,           -4.386824,           -0.677325,           -1.652805,           -4.717714,
                  85,           -4.515076,            6.371500,           -0.268794,            3.682761,           -7.721717,            7.141738,            3.849470,           -0.805845,           -5.045323,           -5.254745,            5.112970,            9.002931,           -9.234748,            8.165297,            7.398779,           -0.476226,           -1.753760,            4.467445,            1.946697,           -5.153410,           -1.218947,            1.234182,           -1.099477,           -2.504982,
